paper_id,title,topic,abstract,summary
P001,Contrastive Sentence Embeddings for Scientific Search,representation_learning,"We study sentence-level representation learning for scientific abstracts using supervised contrastive learning with citation-aware positives. The encoder improves nearest-neighbor retrieval and topic clustering while remaining compact enough for CPU inference.","A compact contrastive encoder learns scientific sentence embeddings that help search and clustering."
P002,Masked Span Reconstruction for Research Abstract Understanding,representation_learning,"This work trains a transformer encoder on masked span reconstruction over research abstracts and section-aware segments. Learned representations improve downstream classification and similarity search on small labeled datasets.","Self-supervised masked span learning yields reusable abstract representations for low-label NLP tasks."
P003,Topic-Aware Embedding Alignment Across Research Fields,representation_learning,"We align paper embeddings across machine learning, vision, and healthcare corpora using a topic-aware projection objective. The method preserves fine-grained similarity while reducing field-specific drift.","Topic-aware alignment keeps embeddings comparable across different research domains."
P004,Lexical and Dense Retrieval for Literature Discovery,retrieval,"We compare lexical ranking with dense retrieval on a literature discovery benchmark of abstracts and paper summaries. Dense retrieval improves semantic recall, while lexical methods remain competitive for keyword-specific queries.","Dense retrieval helps semantic search, but lexical retrieval still performs well on exact terminology."
P005,Cross-Encoder Reranking for Scholarly Passage Retrieval,retrieval,"A compact cross-encoder reranks top passages returned by a first-stage retriever. The reranker improves mean reciprocal rank on scientific passage retrieval with modest latency overhead.","Reranking improves passage relevance after initial retrieval."
P006,Query Reformulation for Research Paper Search,retrieval,"We investigate query reformulation strategies that expand short research questions into terminology-rich search queries. Reformulated queries increase lexical recall and improve hybrid retrieval quality.","Smarter query wording helps both lexical and hybrid paper search."
P007,Instruction-Tuned Summaries for Related Work Drafting,language_modeling,"This study evaluates instruction-tuned sequence-to-sequence models for producing concise related-work style summaries from retrieved abstracts. Grounded prompting reduces hallucination and preserves citation intent.","Instruction-tuned models can draft grounded related-work summaries from retrieved evidence."
P008,Retrieval-Augmented Question Answering over Paper Abstracts,language_modeling,"We build a retrieval-augmented question answering system that answers factual questions about paper contributions, datasets, and methods from abstract collections. Retrieval quality strongly influences answer accuracy.","QA over abstracts works best when retrieval surfaces the right supporting passages."
P009,Compact Generative Models for Scientific Note Compression,language_modeling,"We evaluate compact encoder-decoder models for compressing long paper notes into short actionable summaries. Coverage remains strong when prompts focus on contribution, method, and limitation.","Small generative models can produce useful research-note summaries when prompts are structured."
P010,Chain-of-Thought Distillation for Academic Reasoning,reasoning,"We distill multi-step reasoning traces into a smaller model for answering methodological questions about experimental design and ablation logic. Distillation improves explanation faithfulness on held-out papers.","Reasoning traces can be distilled into smaller models for method-focused academic QA."
P011,Verifier-Guided Evidence Checking for Research QA,reasoning,"This work introduces an evidence verifier that checks whether generated answers are grounded in retrieved abstract spans. The verifier reduces unsupported claims and flags low-confidence outputs.","An evidence verifier helps prevent unsupported answers in research question answering."
P012,Benchmarking Long-Context Reasoning on Research Collections,reasoning,"We benchmark long-context models on multi-paper reasoning tasks that require comparing assumptions, baselines, and results across documents. Retrieval and chunk selection remain critical despite larger context windows.","Long-context models still depend on good chunk selection for multi-paper reasoning."
P013,Robustness of Scientific Classifiers under Topic Shift,robustness,"We test topic classifiers on research abstracts under temporal and domain shift. Performance drops sharply when new terminology appears, motivating stronger representation learning and calibration.","Topic shift hurts abstract classifiers when vocabulary changes over time."
P014,Adversarial Terminology Swaps in Literature Search,robustness,"We create adversarial query variants by swapping scientific terms with uncommon synonyms and abbreviations. Dense retrieval remains more stable than lexical ranking, though both degrade under severe edits.","Dense retrieval is more robust than lexical retrieval to terminology changes."
P015,Confidence Calibration for Research Topic Models,robustness,"We evaluate confidence calibration methods for paper topic classifiers and show that temperature scaling improves decision reliability under class imbalance. Calibrated models better support teaching and review workflows.","Calibration improves how trustworthy topic classifier probabilities are."
P016,Vision-Language Retrieval for Figure-Caption Matching,multimodal,"We build a vision-language retriever that matches figures to paper captions and summary sentences. Joint representations improve retrieval for multimodal scientific assets.","Joint image-text embeddings help retrieve scientific figures and captions together."
P017,Multimodal Summaries of Tables and Abstracts,multimodal,"This paper studies summarization of research papers using abstract text plus table captions. Adding structured evidence improves summary specificity for experimental results.","Using both text and tables can make research summaries more specific."
P018,Aligning Diagram Text with Abstract Claims,multimodal,"We align diagram text regions with abstract claims using cross-modal attention. The alignment supports grounded navigation between figures and written summaries.","Cross-modal alignment links abstract claims to diagram evidence."
